batch_name,Lr_trunc_flag,Lr_sup,CTOD,CTOD,CTOD,CTOD,CTOD,CTOD,CTOD,CTOD,CTOD
125,0,,0.065,0.15,0.21,,,,,,
127,0,,0.065,0.15,0.21,,,,,,
123,0,,0.065,0.15,0.21,,,,,,
122,0,,0.065,0.15,0.21,,,,,,
126,0,,0.065,0.24,0.26,,,,,,
128,0,,0.065,0.24,0.26,,,,,,
124,0,,0.065,0.24,0.26,,,,,,
121,0,,0.065,0.24,0.26,,,,,,
353,0,,0.15,0.14,0.18,0.76,0.29,,,,
352,0,,0.15,0.14,0.18,0.76,0.29,,,,
355,0,,0.15,0.14,0.18,0.76,0.29,,,,
356,0,,0.15,0.14,0.18,0.76,0.29,,,,
354,0,,0.12,0.04,0.16,0.26,0.12,,,,
357,0,,0.12,0.04,0.16,0.26,0.12,,,,
351,0,,0.12,0.04,0.16,0.26,0.12,,,,
358,0,,0.12,0.04,0.16,0.26,0.12,,,,
359,0,,0.12,0.04,0.16,0.26,0.12,,,,
3510,0,,0.12,0.04,0.16,0.26,0.12,,,,
221,0,,0.57,0.21,0.67,0.15,0.18,0.35,0.2,,
222,0,,0.57,0.21,0.67,0.15,0.18,0.35,0.2,,
223,0,,0.21,0.05,0.38,0.2,0.36,1.02,,,
224,0,,0.21,0.05,0.38,0.2,0.36,1.02,,,
1061,0,,0.28,0.28,,,,,,,
1062,0,,0.28,0.28,,,,,,,
141,0,,0.08,0.19,,,,,,,
142,0,,0.08,0.19,,,,,,,
1011,0,,0.06,0.11,,,,,,,
1012,0,,0.06,0.11,,,,,,,
1021,0,,0.15,0.09,,,,,,,
1022,0,,0.15,0.09,,,,,,,
4601,0,,0.72,,,,,,,,
4602,0,,0.72,,,,,,,,
